report_id,bug_id,bug_category,severity,recurrent,bug_create_time,bug_page,title,description,img_url,test_case_name,test_case_front,test_case_behind,test_case_description
5ec8ae284cedfd000d3c30a8,5ec8b2734cedfd000d3c3168,用户体验,2,必现,2020/5/23 5:19,咕咚翻译-百度-翻译,在翻译功能界面，同时点击【翻译】、【百度】按钮操作成功,"1、在输入框输入：across from；
2、同时点击【翻译】和【百度】按钮；
3、操作成功。",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590211177519/1590211177519_IMG_20200523_131842.jpg,翻译功能界面【翻译】、【百度】按钮可用性验证,1、用户进入翻译功能页面。,"1、在输入框输入：across from；
2、同时点击【翻译】和【百度】按钮。",翻译失败。
5ec8ae284cedfd000d3c30a8,5ec8b3684cedfd000d3c3232,功能不完整,5,必现,2020/5/23 5:23,咕咚翻译-其他,在更新日志界面，点击【咕咚翻译】链接无法连接网站,"1、进入【更新日志】界面；
2、点击【咕咚翻译】链接；
3、无法连接网站。",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590211421790/1590211421790_IMG_20200523_131619.jpg,更新日志界面【咕咚翻译】链接可用性验证,1、用户已打开软件。,"1、进入【更新日志】界面；
2、点击【咕咚翻译】链接。",成功查看Google 
5ec8ae284cedfd000d3c30a8,5ec8b5204cedfd000d3c336a,功能不完整,2,必现,2020/5/23 5:31,咕咚翻译-输入关键字-翻译,在翻译功能界面，系统没有提示用户输入框输入长度超长,"1、在输入框输入：
发布是阿士大夫很符合是jjfvajifidjvijfvijiajeifuaweiojdfnbihguin；
2、系统没有提示用户输入框输入长度超长。",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590211863423/1590211863423_IMG_20200523_133027.jpg,翻译功能界面输入框输入无限长度功能正确性验证,1、用户进入翻译功能页面。,"1、在输入框输入：
发布是阿士大夫很符合是jjfvajifidjvijfvijiajeifuaweiojdfnbihguin。",系统提示用户输入有效长度的关键字。
5ec8ae284cedfd000d3c30a8,5ec8b6d34cedfd000d3c34f8,用户体验,2,无规律复现,2020/5/23 5:38,咕咚翻译-单词本-背单词模式,在背单词模式，点击播放和查看翻译按钮冲突,"1、点击空白处；
2、播放发音和显现翻译冲突。",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590212299418/1590212299418_IMG_20200523_133656.jpg,背单词模式查看翻译可用性验证,1、用户已进入背单词模式。,1、点击空白处。,成功查看单词翻译。
5ec8ae284cedfd000d3c30a8,5ec8b88f4cedfd000d3c3657,不正常退出,5,必现,2020/5/23 5:45,咕咚翻译-单词本-背单词模式,在单词本界面，点击【翻译】按钮后返回单词本系统自动退出,"1、进入单词本页面；
2、点击单词右边的三点按钮；
3、点击【翻译】按钮；
4、进入翻译页面；
5、返回单词本；
6、系统自动退出。","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590212728248/1590212728248_IMG_20200523_134404.jpg,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590212736094/1590212736094_IMG_20200523_134353.jpg",单词本界面【翻译】按钮返回单词本可用性验证,1、用户已打开单词本。,"1、进入单词本页面；
2、点击单词右边的三点按钮；
3、点击【翻译】按钮；
4、进入翻译页面；
5、返回单词本。",成功返回单词本。
5ec8ae284cedfd000d3c30a8,5ec8b9e44cedfd000d3c3794,功能不完整,2,必现,2020/5/23 5:51,咕咚翻译-翻译结果-其他,在翻译功能界面，输入框输入大写翻译结果错误,"1、在输入框输入：Party；
2、点击下拉框；
3、点击【有道】按钮；
4、点击【翻译】按钮；
5、翻译结果错误。",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590213081966/1590213081966_IMG_20200523_134825.jpg,翻译功能界面输入框输入大写功能正确性验证,1、用户进入翻译功能页面。,"1、在输入框输入：Party；
2、点击下拉框；
3、点击【有道】按钮；
4、点击【翻译】按钮。",翻译结果正确。
5ec8ae284cedfd000d3c30a8,5ec8bd304cedfd000d3c3abf,功能不完整,3,必现,2020/5/23 6:05,咕咚翻译-设置-其他,在设置界面，设置自动发音，翻译结果不能自动发音,"1、进入设置页面；
2、点击【自动发音】按钮；
3、返回翻译页面；
4、输入翻译内容；
5、翻译结果不能自动发音。","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590213916442/1590213916442_IMG_20200523_135857.jpg,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590213924556/1590213924556_IMG_20200523_140021.jpg",设置界面自动发音功能正确性验证,1、用户已打开设置。,"1、进入设置页面；
2、点击【自动发音】按钮；
3、返回翻译页面；
4、输入翻译内容。",翻译结果自动发音。
5ec8ae284cedfd000d3c30a8,5ec8bfb84cedfd000d3c3cf2,用户体验,2,必现,2020/5/23 6:16,Odyssey-播放页面-其他,在播放页面，拖动滑动进度条，页面向左返回。,"1、向右拖动进度条；
2、页面向左返回。",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590214565311/1590214565311_IMG_20200523_141024.jpg,播放页面滑动进度条功能正确性验证,1、用户正在播放歌曲。,1、向右拖动进度条。,成功拖动进度条。
5ec8ae284cedfd000d3c30a8,5ec8c1cf4cedfd000d3c3eee,功能不完整,3,必现,2020/5/23 6:25,Odyssey-播放页面-下一首,在播放页面，点击下一首，播放暂停,"1、点击【下一首】按钮；
2、播放暂停。",,播放页面下一首功能正确性验证,1、用户正在播放歌曲。,1、点击【下一首】按钮。,成功切换到下一首。
5ec8ae284cedfd000d3c30a8,5ec8c4504cedfd000d3c413f,不正常退出,5,必现,2020/5/23 6:36,Odyssey-Settings-Design,在Odyssey设置界面，返回上一个页面，系统不正常退出,"1、点击手机返回键；
2、系统不正常退出。","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590215704072/1590215704072_1.jpg,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590215712199/1590215712199_2.jpg",Odyssey设置界面返回上一个页面功能正确性验证,1、用户已进入设置界面。,1、点击手机返回键。,成功返回上一个页面。
5ec8ae284cedfd000d3c30a8,5ec8c5f04cedfd000d3c434a,用户体验,3,必现,2020/5/23 6:42,Odyssey-Settings-其他,在Odyssey返回桌面，再点开软件，显示专辑页面,"1、点击手机返回桌面键；
2、点开软件；
3、显示专辑页面。","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590216148186/1590216148186_1.jpg,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590216156431/1590216156431_2.jpg,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590216164303/1590216164303_IMG_20200523_143125.jpg",Odyssey返回桌面再点开软件功能正确性验证,1、用户已进入设置界面。,"1、点击手机返回桌面键；
2、点开软件。",显示设置页面。
5ec8ae284cedfd000d3c30a8,5ec8c7f94cedfd000d3c44e0,用户体验,2,必现,2020/5/23 6:51,Odyssey-MyMusic-搜索,在搜索歌曲页面，不能模糊搜索歌曲名,"1、点击【搜索】按钮；
2、输入：情深深；
3、不能模糊搜索歌曲名。",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590216688111/1590216688111_IMG_20200523_144727.jpg,搜索歌曲功能正确性验证,1、用户已打开软件。,"1、点击【搜索】按钮；
2、输入：情深深。",成功搜索歌曲。
5ec8ae284cedfd000d3c30a8,5ec8cf5d4cedfd000d3c4bbc,功能不完整,2,必现,2020/5/23 7:23,咕咚翻译-其他-其他,在翻译悬浮窗，没有关闭按钮,"1、点击关闭按钮；
2、没有关闭按钮。",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590218581090/1590218581090_@BZW]A`WU7_FY}$BKL$NR`I.jpg,翻译悬浮窗关闭按钮可用性验证,1、用户已打开悬浮窗。,1、点击关闭按钮。,成功关闭悬浮窗。
5ec8ae284cedfd000d3c30a8,5ec8d03b4cedfd000d3c4c80,功能不完整,2,小概率复现,2020/5/23 7:26,Odyssey-播放页面-其他,在Odyssey播放歌曲，连接蓝牙，歌曲没有声音,"1、连接蓝牙；
2、歌曲没有声音。",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1590218803472/1590218803472_IMG_20200523_152005.jpg,Odyssey播放歌曲连接蓝牙功能正确性验证,1、用户正在播放歌曲。,1、连接蓝牙。,歌曲正常播放。
