report_id,bug_id,bug_category,severity,recurrent,bug_create_time,bug_page,title,description,img_url,test_case_name,test_case_front,test_case_behind,test_case_description
5f0947734cedfd000d3c97f4,5f0948834cedfd000d3c9826,功能不完整,3,必现,2020/7/11 5:05,我的信息-基本信息-邮箱,我的信息中邮箱无法正常修改,"1.进入我的信息界面
2.点击邮箱修改框
3.发现邮箱框无法出现输入光标",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594443905316/1594443905316_1.png,我的信息界面测试,"1.已经正常注册
2.进入主界面
3.进入我的信息界面","1.进入我的信息界面
2.对各项可点击按钮和窗口进行测试",能够正常操作并且达到目的
5f0947734cedfd000d3c97f4,5f0949654cedfd000d3c9864,功能不完整,5,必现,2020/7/11 5:08,登录-登录-登录,登录界面分别输入正确且已经注册过的账号和密码无法登录,"1，从注册界面跳转进入登录界面
2，分别输入正确且已经注册过的账号和修改过的密码到对应的文本框里
3，点击‘登录’按钮
4，页面无反应，没有跳转",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594444109378/1594444109378_2.png,登录界面测试,"1.已经正常注册
2.注册时修改了密码","1.跳转进登录界面
2.输入密码
3.点击登录，并测试多个按钮",正常登录
5f0947734cedfd000d3c97f4,5f0951d44cedfd000d3c9d0e,功能不完整,3,必现,2020/7/11 5:44,登录-登录-登录,登录界面，不支持微信登录,"1.进入登录页面
2.点击左下角微信登录
3.左下角虽显示有微信登录，但暂时不支持",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594446289463/1594446289463_15.png,登录界面测试,"1.已经正常注册
2.注册时修改了密码","1.跳转进登录界面
2.输入密码
3.点击登录，并测试多个按钮",正常登录
5f0947734cedfd000d3c97f4,5f0953204cedfd000d3c9dfa,功能不完整,3,必现,2020/7/11 5:50,登录-退出,在主页面中，未发现有退出按钮,"1.注册后进入主页面
2.在主页面进行按钮展开和查看
3.并未发现有退出按钮，除非使用修改密码才能退出到登录界面",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594446612791/1594446612791_17.png,登录界面测试,"1.已经正常注册
2.注册时修改了密码","1.跳转进登录界面
2.输入密码
3.点击登录，并测试多个按钮",正常登录
5f0947734cedfd000d3c97f4,5f095a5b4cedfd000d3ca1e3,功能不完整,3,必现,2020/7/11 6:21,登录-登录-注册用户,邮箱输入字符，系统没有错误的提示信息。,"1、进入注册页面；
2、邮箱输入一堆乱码，只要出现@即为成功
3、但系统没有错误的提示信息。
4、注册界面只提供了参数错误报告，并未完成对用户的提醒
容易引发问题
5.修改回正常邮箱就成功注册",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594448441875/1594448441875_26.png,登录界面测试,"1.已经正常注册
2.注册时修改了密码","1.跳转进登录界面
2.输入密码
3.点击登录，并测试多个按钮",正常登录
5f0947734cedfd000d3c97f4,5f095e244cedfd000d3ca42f,安全,5,必现,2020/7/11 6:37,登录-登录-注册用户,注册时，其他项正确，用简单的密码，能成功注册，并且无设计显示密码按钮,"1.进入登录页面
2.点击右下角注册用户
3.输入密码12345
4.点击注册按钮，注册成功，应提示注册失败密码过于简单
5.并且应该支持显示密码，允许用户查看自己密码是多少",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594449430898/1594449430898_33.png,登录界面测试,"1.已经正常注册
2.注册时修改了密码","1.跳转进登录界面
2.输入密码
3.点击登录，并测试多个按钮",正常登录
5f0947734cedfd000d3c97f4,5f0965964cedfd000d3caa1d,页面布局缺陷,2,必现,2020/7/11 7:09,我的信息-基本信息-微信id,用户进入“个人信息”页面缺少“微信id”项,"1.用户注册或登录进入系统首页
2.点击“个人信息”进行查看
3.拖动进度条将页面全部浏览后
4.无法定位到微信id项",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594451347215/1594451347215_42.png,登录界面测试,"1.已经正常注册
2.注册时修改了密码","1.跳转进登录界面
2.输入密码
3.点击登录，并测试多个按钮",正常登录
5f0947734cedfd000d3c97f4,5f0966344cedfd000d3caa6a,功能不完整,2,必现,2020/7/11 7:11,我的信息-基本信息-邀请码,并未在“基本信息“界面发现邀请码填写地点,"1.进入主界面
2.点击我的信息
3.浏览一遍我的信息界面
4.发现并未查找到所需求的邀请码填写栏
5.退回注册页面，也并未发现邀请码填写栏","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594451470686/1594451470686_42.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594451482958/1594451482958_3.png",登录界面测试,"1.已经正常注册
2.注册时修改了密码","1.跳转进登录界面
2.输入密码
3.点击登录，并测试多个按钮",正常登录
5f0947734cedfd000d3c97f4,5f0966e04cedfd000d3caaaa,用户体验,4,必现,2020/7/11 7:14,我的信息-基本信息-注册时间,在我的信息页面，点击刷新，页面会出错404 page not found，然后又在次出现该页面,"1.已成功登录进入该网站
2.点击进入我的信息页面
3.进行网页刷新
4.页面出错，显示404
5.然后又再次恢复
6.再次刷新，又显示404
7.然后又再次回复
时间间隔极短，但是影响体验",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594451658860/1594451658860_43.png,登录界面测试,"1.已经正常注册
2.注册时修改了密码","1.跳转进登录界面
2.输入密码
3.点击登录，并测试多个按钮",正常登录
5f0947734cedfd000d3c97f4,5f095b7a4cedfd000d3ca265,用户体验,2,必现,2020/7/11 6:26,用户体验-用户体验-用户体验,页面标签的描述可以完善,"1.进入主界面后，观察主要界面
2.点开右侧小三角后出现三个标签
我个人认为，可以在关闭左侧右侧这文字描述时
修改为关闭本页左侧页面，关闭本页右侧页面
诸如此类，会有更加好的用户体验",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1594448742000/1594448742000_30.png,首页界面测试,"1.已经正常注册
2.进入我的信息界面","1.进入我的界面
2.点击首页",出现相关信息
